#{"t_start": 1763515689.117899, "env_id": "None"}
r,l,t
1.0,1,18.885918
1.0,1,18.911972
1.0,1,18.934467
1.0,1,18.956825
1.0,1,18.979077
1.0,1,18.99996
1.0,1,19.020636
1.0,1,19.040921
1.0,1,19.060751
1.0,1,19.081104
1.0,1,19.102289
1.0,1,19.122916
1.0,1,19.142977
1.0,1,19.162643
1.0,1,19.182592
1.0,1,19.203056
1.0,1,19.223597
1.0,1,19.243567
1.0,1,19.263246
1.0,1,19.282716
1.0,1,19.302496
1.0,1,19.322118
1.0,1,19.341927
1.0,1,19.361694
1.0,1,19.381587
1.0,1,19.401348
1.0,1,19.421029
1.0,1,19.44066
1.0,1,19.459855
1.0,1,19.480319
1.0,1,19.499879
1.0,1,19.519585
1.0,1,19.539374
1.0,1,19.559017
1.0,1,19.579167
1.0,1,19.59956
1.0,1,19.619312
1.0,1,19.639313
1.0,1,19.6597
1.0,1,19.679486
1.0,1,19.69937
1.0,1,19.719774
1.0,1,19.73983
1.0,1,19.760187
1.0,1,19.780436
1.0,1,19.799971
1.0,1,19.820098
1.0,1,19.840237
1.0,1,19.859402
1.0,1,19.879212
1.0,1,19.898515
1.0,1,19.918226
1.0,1,19.938117
1.0,1,19.957652
1.0,1,19.978032
1.0,1,19.997544
1.0,1,20.017435
1.0,1,20.036773
1.0,1,20.057103
1.0,1,20.077029
1.0,1,20.096584
1.0,1,20.115989
1.0,1,20.135806
1.0,1,20.155235
1.0,1,20.174963
1.0,1,20.194304
1.0,1,20.214118
1.0,1,20.23365
1.0,1,20.253154
1.0,1,20.272683
1.0,1,20.292981
1.0,1,20.312515
1.0,1,20.332339
1.0,1,20.35241
1.0,1,20.372005
1.0,1,20.391762
1.0,1,20.411674
1.0,1,20.431506
1.0,1,20.450875
1.0,1,20.470639
1.0,1,20.490514
1.0,1,20.50993
1.0,1,20.529449
1.0,1,20.549117
1.0,1,20.568904
1.0,1,20.589245
1.0,1,20.608628
1.0,1,20.62805
1.0,1,20.647622
1.0,1,20.667515
1.0,1,20.687216
1.0,1,20.707404
1.0,1,20.726858
1.0,1,20.746887
1.0,1,20.76659
1.0,1,20.786134
1.0,1,20.805972
1.0,1,20.824997
1.0,1,20.844604
1.0,1,20.863835
1.0,1,20.883425
1.0,1,20.902793
1.0,1,20.922669
1.0,1,20.942435
1.0,1,20.962674
1.0,1,20.982127
1.0,1,21.002222
1.0,1,21.021591
1.0,1,21.041763
1.0,1,21.061298
1.0,1,21.080794
1.0,1,21.100778
1.0,1,21.120679
1.0,1,21.14013
1.0,1,21.159912
1.0,1,21.179393
1.0,1,21.198981
1.0,1,21.218955
1.0,1,21.238257
1.0,1,21.257826
1.0,1,21.277325
1.0,1,21.297357
1.0,1,21.317046
1.0,1,21.3372
1.0,1,21.356828
1.0,1,21.376148
1.0,1,21.396189
1.0,1,21.415201
1.0,1,21.435086
1.0,1,21.454954
1.0,1,21.474732
1.0,1,21.494506
1.0,1,21.513844
1.0,1,21.533505
1.0,1,21.553043
1.0,1,21.572599
1.0,1,21.592042
1.0,1,21.611352
1.0,1,21.630853
1.0,1,21.650237
1.0,1,21.670618
1.0,1,21.690246
1.0,1,21.709892
1.0,1,21.72981
1.0,1,21.750355
1.0,1,21.769972
